incident_number,id,address,incident_date,call_number,alarm_dttm,arrival_dttm,close_dttm,city,zipcode,battalion,suppression_units,suppression_personnel,ems_units,ems_personnel,fire_fatalities,fire_injuries,civilian_fatalities,civilian_injuries,number_of_alarms,primary_situation,action_taken_primary,property_use,area_of_fire_origin,ignition_factor_primary,human_factors_associated_with_ignition,neighborhood_district,point
23160622,231606220,1560 5TH AVENUE,2023-11-29T00:00:00,233330015,2023-11-29T00:09:32,2023-11-29T00:16:04,2023-11-29T00:29:00,San Francisco,94122,B08,3,10,0,0,0,0,0,0,1,424 Carbon monoxide incident,64 Shut down system,429 Multifamily dwelling,,,,Inner Sunset,POINT (-122.460831 37.760167)
23160618,231606180,1 CARLTON B GOODLETT PLACE,2023-11-29T00:00:00,233330003,2023-11-29T00:01:01,2023-11-29T00:05:40,2023-11-29T00:09:52,San Francisco,94102,B02,3,11,0,0,0,0,0,0,1,735 Alarm system sounded due to malfunction,86 Investigate,"150 Public or government, other",,,,Tenderloin,POINT (-122.418756 37.779318)
23160660,231606600,336 16TH AVENUE,2023-11-29T00:00:00,233330207,2023-11-29T03:24:32,2023-11-29T03:29:55,2023-11-29T03:34:24,San Francisco,94118,B07,1,4,0,0,0,0,0,0,1,"700 False alarm or false call, other",86 Investigate,419 1 or 2 family dwelling,,,,Outer Richmond,POINT (-122.475092 37.781734)
23160639,231606390,171 FELL STREET,2023-11-29T00:00:00,233330116,2023-11-29T01:52:00,2023-11-29T01:56:11,2023-11-29T02:00:41,San Francisco,94102,B02,3,11,0,0,0,0,0,0,1,"743 Smoke detector activation, no fire - unintentional",86 Investigate,"439 Boarding/rooming house, residential hotels",,,,Hayes Valley,POINT (-122.42075 37.775948)
23160666,231606660,318-320 TURK STREET,2023-11-29T00:00:00,233330233,2023-11-29T04:03:02,2023-11-29T04:08:09,2023-11-29T04:18:15,San Francisco,94102,B02,3,11,0,0,0,0,0,0,1,"711 Municipal alarm system, malicious false alarm",86 Investigate,429 Multifamily dwelling,,,,Tenderloin,POINT (-122.414425 37.782816)
23160662,231606620,318-320 TURK STREET,2023-11-29T00:00:00,233330216,2023-11-29T03:35:09,2023-11-29T03:40:12,2023-11-29T03:48:54,San Francisco,94102,B02,3,11,0,0,0,0,0,0,1,"743 Smoke detector activation, no fire - unintentional",86 Investigate,429 Multifamily dwelling,,,,Tenderloin,POINT (-122.414425 37.782816)
23160303,231603030,50 FRANCISCO STREET,2023-11-28T00:00:00,233321019,2023-11-28T10:33:31,2023-11-28T10:38:33,2023-11-28T12:33:54,San Francisco,94133,B01,1,4,3,2,0,0,0,0,1,735 Alarm system sounded due to malfunction,86 Investigate,215 High school/junior high school/middle school,,,,North Beach,POINT (-122.40546 37.805752)
23160356,231603560,10TH STREET,2023-11-28T00:00:00,233321349,2023-11-28T12:22:22,2023-11-28T12:25:57,2023-11-28T12:45:41,San Francisco,94103,B02,5,19,2,3,0,0,0,0,1,"311 Medical assist, assist EMS crew",86 Investigate,429 Multifamily dwelling,,,,South of Market,POINT (-122.415911 37.775272)
23160441,231604410,2135 MARKET STREET,2023-11-28T00:00:00,233322046,2023-11-28T15:52:57,2023-11-28T15:54:59,2023-11-28T15:58:11,San Francisco,94114,B05,9,30,1,2,0,0,0,0,1,"113 Cooking fire, confined to container",86 Investigate,429 Multifamily dwelling,,,,Castro/Upper Market,POINT (-122.429629 37.766872)
23160439,231604390,670 EDDY STREET,2023-11-28T00:00:00,233322031,2023-11-28T15:50:09,2023-11-28T15:53:06,2023-11-28T16:04:13,San Francisco,94109,B02,3,11,0,0,0,0,0,0,1,"743 Smoke detector activation, no fire - unintentional",63 Restore fire alarm system,"439 Boarding/rooming house, residential hotels",,,,Tenderloin,POINT (-122.418823 37.783411)
